EEPROM,
zal,1
eli,1
ro,0
zero_offset,3284
ls,0
Linearization Error Segment 00,-177
Linearization Error Segment 01,566
Linearization Error Segment 02,11
Linearization Error Segment 03,-41
Linearization Error Segment 04,409
Linearization Error Segment 05,-592
Linearization Error Segment 06,183
Linearization Error Segment 07,-2
Linearization Error Segment 08,-396
Linearization Error Segment 09,253
Linearization Error Segment 10,-623
Linearization Error Segment 11,-29
Linearization Error Segment 12,20
Linearization Error Segment 13,-767
Linearization Error Segment 14,4
Linearization Error Segment 15,-654
Linearization Error Segment 16,-463
Linearization Error Segment 17,255
Linearization Error Segment 18,-552
Linearization Error Segment 19,-39
Linearization Error Segment 20,-21
Linearization Error Segment 21,-774
Linearization Error Segment 22,171
Linearization Error Segment 23,13
Linearization Error Segment 24,-339
Linearization Error Segment 25,501
Linearization Error Segment 26,-128
Linearization Error Segment 27,-89
Linearization Error Segment 28,774
Linearization Error Segment 29,-46
Linearization Error Segment 30,141
Linearization Error Segment 31,615
